Company,Job Title,Location,Apply URL,Last Updated,H-1B LCAs (Q1 FY2026),Transfer LCAs (Q1 FY2026),H-1B LCAs (Full 2024),Median Salary Q1,Median Salary 2024,Dominant Wage Level,Lottery Odds (est.),Last LCA Filed,Sponsor Trust Score,Visa Types,ATS
Airbnb,Account Executive (12 Month FTC),"Paris, France",https://careers.airbnb.com/positions/7649441?gh_jid=7649441,2026-02-24,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Android Software Engineer, Quality Platform","Remote, Brazil",https://careers.airbnb.com/positions/7744247?gh_jid=7744247,2026-03-24,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Associate Legal Counsel, Japan","Tokyo, Japan",https://careers.airbnb.com/positions/7789554?gh_jid=7789554,2026-04-13,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Associate Legal Counsel, Korea","Seoul, Korea",https://careers.airbnb.com/positions/7795869?gh_jid=7795869,2026-04-13,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Associate Principal, SF&A - Host Products",United States,https://careers.airbnb.com/positions/7881559?gh_jid=7881559,2026-05-05,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Associate Principal, Strategic Finance - CBO",United States,https://careers.airbnb.com/positions/7871746?gh_jid=7871746,2026-05-05,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Business Development Intern, Experiences, Paris","Paris, France",https://careers.airbnb.com/positions/7662483?gh_jid=7662483,2026-05-06,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,Business Development Lead ,Canada,https://careers.airbnb.com/positions/7535339?gh_jid=7535339,2026-04-13,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Chef de l’Approvisionnement en Logements, Canada",Canada,https://careers.airbnb.com/positions/7326052?gh_jid=7326052,2026-01-23,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,Claims Experience Specialist (French-Speaking),Canada,https://careers.airbnb.com/positions/7288960?gh_jid=7288960,2026-05-03,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
