Company,Job Title,Location,Apply URL,Last Updated,H-1B LCAs (Q1 FY2026),Transfer LCAs (Q1 FY2026),H-1B LCAs (Full 2024),Median Salary Q1,Median Salary 2024,Dominant Wage Level,Lottery Odds (est.),Last LCA Filed,Sponsor Trust Score,Visa Types,ATS
Airbnb,"Android Software Engineer, Quality Platform","Remote, Brazil",https://careers.airbnb.com/positions/7744247?gh_jid=7744247,2026-03-24,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Associate Principal, SF&A - Host Products",United States,https://careers.airbnb.com/positions/7881559?gh_jid=7881559,2026-05-05,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Associate Principal, Strategic Finance - CBO",United States,https://careers.airbnb.com/positions/7871746?gh_jid=7871746,2026-05-05,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,Community Support Forecasting and Demand Planning Analyst,United States ,https://careers.airbnb.com/positions/7839229?gh_jid=7839229,2026-04-24,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,Data Science Intern,United States,https://careers.airbnb.com/positions/7839237?gh_jid=7839237,2026-04-27,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Engineering Manager, Checkout (Booking & Pricing)",United States,https://careers.airbnb.com/positions/7859591?gh_jid=7859591,2026-04-28,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Engineering Manager, Core Foundation","San Francisco, CA",https://careers.airbnb.com/positions/7630719?gh_jid=7630719,2026-03-04,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Engineering Manager, Identity & Privacy Experience (Users, Identity & Community)",Remote - USA,https://careers.airbnb.com/positions/7758827?gh_jid=7758827,2026-03-26,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Engineering Manager, Investigations and Incident Response",USA - Remote,https://careers.airbnb.com/positions/7743899?gh_jid=7743899,2026-03-24,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Engineering Manager, Listings Products",Remote - USA,https://careers.airbnb.com/positions/7712903?gh_jid=7712903,2026-04-13,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Engineering Manager, Network Infrastructure (Cloud)",Remote - USA,https://careers.airbnb.com/positions/7343909?gh_jid=7343909,2026-02-24,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Engineering Manager, Storage",United States,https://careers.airbnb.com/positions/7702685?gh_jid=7702685,2026-03-11,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Engineering Manager, UI Tooling",United States,https://careers.airbnb.com/positions/7778757?gh_jid=7778757,2026-04-03,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Experience Designer, Offline Design","San Francisco, CA",https://careers.airbnb.com/positions/7767673?gh_jid=7767673,2026-03-31,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Head of Fundraising, Airbnb.org",United States ,https://careers.airbnb.com/positions/7812284?gh_jid=7812284,2026-04-30,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"iOS Software Engineer, Airbnb - New Grad","San Francisco, CA, Seattle, WA",https://careers.airbnb.com/positions/7859317?gh_jid=7859317,2026-04-28,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Lead, Advanced Analytics, Product",United States,https://careers.airbnb.com/positions/7612790?gh_jid=7612790,2026-04-23,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,Lead UX Writer,"San Francisco, CA",https://careers.airbnb.com/positions/7875833?gh_jid=7875833,2026-05-01,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Machine Learning Engineer, Customer Support Engineering",Remote-USA,https://careers.airbnb.com/positions/7826337?gh_jid=7826337,2026-04-23,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Manager, Connectivity Partner",United States ,https://careers.airbnb.com/positions/7588811?gh_jid=7588811,2026-04-27,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Manager, Fraud Intelligence",United States ,https://careers.airbnb.com/positions/7793861?gh_jid=7793861,2026-04-14,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Manager, Knowledge Management",United States ,https://careers.airbnb.com/positions/7793818?gh_jid=7793818,2026-04-09,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Manager, Premium Support","British Columbia, Canada",https://careers.airbnb.com/positions/7862143?gh_jid=7862143,2026-05-05,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,Operations Data & Technology Strategy Lead,United States ,https://careers.airbnb.com/positions/7724155?gh_jid=7724155,2026-03-17,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,Planning & Business Operations Lead,United States ,https://careers.airbnb.com/positions/7746611?gh_jid=7746611,2026-04-30,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Principal, Community Support, Strategic Finance",United States ,https://careers.airbnb.com/positions/7759059?gh_jid=7759059,2026-03-27,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Principal, Financial Reporting ",United States ,https://careers.airbnb.com/positions/7829123?gh_jid=7829123,2026-04-20,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Principal Software Engineer, Performance",Remote-US,https://careers.airbnb.com/positions/7826679?gh_jid=7826679,2026-04-17,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,Process Strategy and Optimization Manager,United States ,https://careers.airbnb.com/positions/7550345?gh_jid=7550345,2026-02-04,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,Process & Tools Scalability Specialist ,United States,https://careers.airbnb.com/positions/7821646?gh_jid=7821646,2026-04-16,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,Product Manager,"San Francisco, CA",https://careers.airbnb.com/positions/7724793?gh_jid=7724793,2026-04-20,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Product Manager, LATAM (Miami or San Francisco)","Miami, United States, San Francisco, United States",https://careers.airbnb.com/positions/7144534?gh_jid=7144534,2026-02-10,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Product Manager, Trip Quality Merchandising and AI","San Francisco, CA",https://careers.airbnb.com/positions/7651661?gh_jid=7651661,2026-05-01,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Product Program Manager, Roadmap Planning & Program Management","San Francisco, United States ",https://careers.airbnb.com/positions/6557174?gh_jid=6557174,2026-04-30,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,Programs and Business Operations Lead,United States ,https://careers.airbnb.com/positions/7834481?gh_jid=7834481,2026-04-23,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Programs & Business Operations Lead, Airbnb Services",United States,https://careers.airbnb.com/positions/7812160?gh_jid=7812160,2026-04-14,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,Regulatory Operations Lead,United States,https://careers.airbnb.com/positions/7789528?gh_jid=7789528,2026-04-24,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Senior Accountant, Consolidations",United States ,https://careers.airbnb.com/positions/7829111?gh_jid=7829111,2026-04-20,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Senior Backend Software Engineer,  Media Ingestion & Serving",Remote - USA,https://careers.airbnb.com/positions/7539174?gh_jid=7539174,2026-05-04,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Senior Data Scientist, Causal Inference",Remote,https://careers.airbnb.com/positions/7662244?gh_jid=7662244,2026-04-15,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Senior Data Scientist, Platform ",United States,https://careers.airbnb.com/positions/7594971?gh_jid=7594971,2026-04-27,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,Senior Employee Relations Manager,United States ,https://careers.airbnb.com/positions/7863019?gh_jid=7863019,2026-05-06,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Senior Frontend Engineer, Reliability Experience",Brazil - Remote,https://careers.airbnb.com/positions/7378231?gh_jid=7378231,2026-02-11,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,Senior iOS Automation Engineer,Brazil - Remote,https://careers.airbnb.com/positions/7453190?gh_jid=7453190,2026-03-12,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Senior iOS Software Engineer, Quality Platform",Brazil - Remote,https://careers.airbnb.com/positions/7453202?gh_jid=7453202,2026-04-23,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb," Senior Machine Learning Engineer, Payments",Remote-USA,https://careers.airbnb.com/positions/7755758?gh_jid=7755758,2026-04-10,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Senior Manager, Advanced Analytics",United States,https://careers.airbnb.com/positions/7627054?gh_jid=7627054,2026-04-17,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Senior Manager, Advanced Analytics, Fraud & Safety Operations",United States,https://careers.airbnb.com/positions/7788160?gh_jid=7788160,2026-04-09,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,Senior Manager Global Capacity and Operational Planning (Community Support),United States ,https://careers.airbnb.com/positions/7840101?gh_jid=7840101,2026-04-24,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Senior Manager, Platform Management - Community Experience",United States,https://careers.airbnb.com/positions/7867292?gh_jid=7867292,2026-04-30,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Senior Manager, Product Specialist Program",United States ,https://careers.airbnb.com/positions/7002763?gh_jid=7002763,2026-04-29,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Senior Manager, Public Policy, Texas ","Texas, United States ",https://careers.airbnb.com/positions/7736028?gh_jid=7736028,2026-03-25,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Senior Manager, Supply Tech",United States ,https://careers.airbnb.com/positions/7768834?gh_jid=7768834,2026-03-31,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Senior Manager, Technical Program Management (Guest & Host Technology)",United States,https://careers.airbnb.com/positions/7759827?gh_jid=7759827,2026-03-27,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,Senior Market Manager,"San Francisco, United States ",https://careers.airbnb.com/positions/7592467?gh_jid=7592467,2026-04-28,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,Senior Market Manager,"DC, United States",https://careers.airbnb.com/positions/7586392?gh_jid=7586392,2026-02-03,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,Senior Market Manager,"New York, United States",https://careers.airbnb.com/positions/7905012?gh_jid=7905012,2026-05-07,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,Senior MarTech Operations Manager,United States ,https://careers.airbnb.com/positions/7729205?gh_jid=7729205,2026-04-02,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,Senior Privacy Architect Manager,United States ,https://careers.airbnb.com/positions/7782533?gh_jid=7782533,2026-05-06,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Senior Product Program Manager, Roadmap Planning & Program Management ","San Francisco, United States ",https://careers.airbnb.com/positions/6153760?gh_jid=6153760,2026-03-02,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Senior Program Manager, Information Security",United States,https://careers.airbnb.com/positions/7744089?gh_jid=7744089,2026-04-15,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Senior Programs & Business Operations Lead, Airbnb Services ",United States ,https://careers.airbnb.com/positions/7822781?gh_jid=7822781,2026-04-17,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,Senior Regulatory Operations Manager,United States,https://careers.airbnb.com/positions/7789483?gh_jid=7789483,2026-04-27,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Senior Software Engineer, App Foundation (Backend)",United States,https://careers.airbnb.com/positions/7717198?gh_jid=7717198,2026-03-13,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Senior Software Engineer, Community Support Engineering ","Remote, USA",https://careers.airbnb.com/positions/7482013?gh_jid=7482013,2026-01-23,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Senior Software Engineer, Data Infrastructure",USA - Remote ,https://careers.airbnb.com/positions/7683174?gh_jid=7683174,2026-03-31,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Senior Software Engineer, Guest & Host",United States,https://careers.airbnb.com/positions/7551565?gh_jid=7551565,2026-04-29,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Senior Software Engineer, Guest & Host (Partner Integrations) ","Remote, USA ",https://careers.airbnb.com/positions/7639355?gh_jid=7639355,2026-02-24,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Senior Software Engineer, Infrastructure",Remote - Brazil,https://careers.airbnb.com/positions/7391864?gh_jid=7391864,2026-03-30,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Senior Software Engineer, Insurance Platform",Remote - USA,https://careers.airbnb.com/positions/7862868?gh_jid=7862868,2026-04-28,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Senior Software Engineer, Quality Platform",Remote - US,https://careers.airbnb.com/positions/6602436?gh_jid=6602436,2026-04-27,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Senior Software Engineer, Reputation",Remote-USA,https://careers.airbnb.com/positions/7775710?gh_jid=7775710,2026-04-28,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Senior Software Engineer,Trust Platform ","Remote, USA ",https://careers.airbnb.com/positions/7684833?gh_jid=7684833,2026-03-27,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
Airbnb,"Senior Software Engineer, Viaduct Backend GraphQL",Remote - USA,https://careers.airbnb.com/positions/7823003?gh_jid=7823003,2026-04-28,31,25,189,"$191,000","$185,000",II,~23%,2025-12-12,70/100,H-1B,Greenhouse
